Time,Unix,Aggregate,Fridge,Freezer,Washing_Machine,Dishwasher,Computer,Television,Microwave,Kettle,Toaster,active_count
2013-10-09 15:32:32,1381332752,221,0,44,73,0,0,0,0,0,1,3
2013-10-09 16:59:04,1381337944,278,0,56,73,0,0,0,0,0,1,3
2013-10-09 17:00:20,1381338020,299,87,52,72,0,0,0,0,0,1,4
2013-10-09 17:01:33,1381338093,289,84,48,72,0,0,0,0,0,1,4
2013-10-09 17:02:34,1381338154,291,84,48,71,0,0,0,0,0,1,4
2013-10-09 17:04:18,1381338258,288,84,47,71,0,0,0,0,0,1,4
2013-10-09 17:05:17,1381338317,325,83,47,70,0,0,0,0,31,1,5
2013-10-09 17:06:18,1381338378,321,83,46,71,0,0,0,0,32,1,5
2013-10-09 17:07:34,1381338454,327,82,46,71,0,0,0,0,32,1,5
2013-10-09 17:08:48,1381338528,331,81,46,70,0,0,0,0,32,1,5
2013-10-09 17:10:04,1381338604,331,79,46,69,0,0,0,0,31,1,5
2013-10-09 17:11:18,1381338678,331,77,45,70,0,0,0,0,32,1,5
2013-10-09 17:12:33,1381338753,327,77,45,69,0,0,0,0,31,1,5
2013-10-09 17:13:49,1381338829,329,77,45,69,0,0,0,0,31,1,5
2013-10-09 17:15:18,1381338918,322,75,44,69,0,0,0,0,31,1,5
2013-10-09 17:16:18,1381338978,321,73,44,69,0,0,0,0,31,1,5
2013-10-09 17:17:19,1381339039,323,74,44,69,0,0,0,0,43,1,5
2013-10-09 17:18:48,1381339128,290,72,23,69,0,0,0,0,39,1,5
2013-10-09 17:20:18,1381339218,278,71,0,69,0,0,0,0,31,1,4
2013-10-09 17:21:20,1381339280,279,70,0,68,0,0,0,0,31,1,4
2013-10-09 17:22:35,1381339355,277,71,0,68,0,0,0,0,30,1,4
2013-10-09 17:23:48,1381339428,278,70,0,68,0,0,0,0,31,1,4
2013-10-09 17:24:49,1381339489,279,69,0,68,0,0,0,0,31,1,4
2013-10-09 17:26:04,1381339564,275,68,0,69,0,0,0,0,30,1,4
2013-10-09 17:27:19,1381339639,276,68,0,68,0,0,0,0,31,1,4
2013-10-09 17:28:49,1381339729,243,0,0,68,0,0,0,0,47,1,3
2013-10-09 17:53:03,1381341183,342,0,57,0,0,0,0,0,31,1,3
2013-10-09 17:54:05,1381341245,344,0,52,0,0,0,0,0,31,1,3
2013-10-09 17:55:33,1381341333,355,0,49,0,0,0,0,0,29,1,3
2013-10-09 17:56:48,1381341408,337,0,47,0,0,0,0,0,31,1,3
2013-10-09 17:58:19,1381341499,348,0,47,0,0,0,0,0,31,1,3
2013-10-09 18:00:03,1381341603,338,0,47,0,0,0,0,0,31,1,3
2013-10-09 18:01:33,1381341693,337,0,46,0,0,0,0,0,33,1,3
2013-10-09 18:02:34,1381341754,353,0,46,0,0,0,0,0,32,1,3
2013-10-09 18:03:48,1381341828,341,0,45,0,0,0,0,0,30,1,3
2013-10-09 18:05:48,1381341948,340,0,45,0,0,0,0,0,32,1,3
2013-10-09 18:07:17,1381342037,343,0,44,0,0,0,0,0,33,1,3
2013-10-09 18:08:33,1381342113,348,0,44,0,0,0,0,0,36,1,3
2013-10-09 18:09:50,1381342190,344,0,44,0,0,0,0,0,37,1,3
2013-10-09 18:10:51,1381342251,344,0,43,0,0,0,0,0,37,1,3
2013-10-09 18:22:21,1381342941,307,0,0,83,0,0,0,0,40,1,3
2013-10-09 18:23:33,1381343013,353,0,0,76,0,0,0,0,40,1,3
2013-10-09 18:24:48,1381343088,343,0,0,75,0,0,0,0,31,1,3
2013-10-09 18:25:49,1381343149,348,0,0,74,0,0,0,0,33,1,3
2013-10-09 18:27:19,1381343239,356,0,0,73,0,0,0,0,32,1,3
2013-10-09 18:28:53,1381343333,666,0,0,72,0,0,0,0,31,1,3
2013-10-09 18:29:52,1381343392,515,0,0,71,0,0,0,0,31,1,3
2013-10-09 18:30:51,1381343451,528,0,0,71,0,0,0,0,31,1,3
2013-10-09 18:32:08,1381343528,493,0,0,70,0,0,0,0,8,1,3
2013-10-09 21:18:46,1381353526,592,0,0,75,0,0,0,0,32,1,3
2013-10-09 21:19:47,1381353587,586,0,0,74,0,0,0,0,32,1,3
2013-10-09 21:20:46,1381353646,3695,0,0,73,0,0,0,0,31,1,3
2013-10-09 21:21:46,1381353706,3627,0,0,73,0,0,0,0,31,1,3
2013-10-09 21:22:47,1381353767,3638,0,0,72,0,0,0,0,31,1,3
2013-10-09 21:23:46,1381353826,585,0,0,72,0,0,0,0,30,1,3
2013-10-09 21:24:47,1381353887,582,0,0,71,0,0,0,0,41,1,3
2013-10-09 21:25:46,1381353946,589,0,0,71,0,0,0,0,30,1,3
2013-10-09 21:26:47,1381354007,581,0,0,71,0,0,0,0,31,1,3
2013-10-09 21:27:46,1381354066,589,0,0,71,0,0,0,0,31,1,3
2013-10-09 21:28:46,1381354126,582,0,0,70,0,0,0,0,30,1,3
2013-10-09 21:29:47,1381354187,583,0,0,70,0,0,0,0,31,1,3
2013-10-09 21:30:46,1381354246,586,0,0,70,0,0,0,0,31,1,3
2013-10-09 21:31:46,1381354306,583,0,0,69,0,0,0,0,30,1,3
2013-10-09 21:32:46,1381354366,585,0,0,69,0,0,0,0,30,1,3
2013-10-09 21:33:47,1381354427,581,0,0,69,0,0,0,0,30,1,3
2013-10-09 21:34:46,1381354486,669,83,0,69,0,0,0,0,30,1,4
2013-10-09 21:35:47,1381354547,673,83,0,69,0,0,0,0,30,1,4
2013-10-09 21:36:46,1381354606,650,83,0,69,0,0,0,0,30,1,4
2013-10-09 21:37:46,1381354666,713,83,59,69,0,0,0,0,30,1,5
2013-10-09 21:38:46,1381354726,700,83,51,69,0,0,0,0,30,1,5
2013-10-09 21:39:46,1381354786,700,83,49,69,0,0,0,0,30,1,5
2013-10-09 21:40:47,1381354847,698,82,48,68,0,0,0,0,30,1,5
2013-10-09 21:41:47,1381354907,694,82,47,69,0,0,0,0,30,1,5
2013-10-09 21:42:46,1381354966,706,81,47,69,0,0,0,0,30,1,5
2013-10-09 21:43:47,1381355027,698,81,48,68,0,0,0,0,30,1,5
2013-10-09 21:44:46,1381355086,691,79,47,68,0,0,0,0,30,1,5
2013-10-09 21:45:47,1381355147,692,78,46,68,0,0,0,0,31,1,5
2013-10-09 21:46:46,1381355206,692,77,46,68,0,0,0,0,30,1,5
2013-10-09 21:47:46,1381355266,698,77,46,68,0,0,0,0,29,1,5
2013-10-09 21:48:46,1381355326,694,75,46,69,0,0,0,0,30,1,5
2013-10-09 21:49:47,1381355387,681,75,46,68,0,0,0,0,30,1,5
2013-10-09 21:50:46,1381355446,685,74,45,69,0,0,0,0,30,1,5
2013-10-09 21:51:46,1381355506,627,73,45,0,0,0,0,0,30,1,4
2013-10-09 21:52:46,1381355566,618,72,45,0,0,0,0,0,30,1,4
2013-10-09 21:53:46,1381355626,621,72,45,0,0,0,0,0,30,1,4
2013-10-09 21:54:47,1381355687,620,72,45,0,0,0,0,0,30,1,4
2013-10-09 21:55:46,1381355746,584,70,41,0,0,0,0,0,30,1,4
2013-10-09 21:56:46,1381355806,591,70,0,0,0,0,0,0,31,1,3
2013-10-09 21:57:47,1381355867,579,70,0,0,0,0,0,0,30,1,3
2013-10-09 21:58:47,1381355927,580,69,0,0,0,0,0,0,31,1,3
2013-10-09 21:59:46,1381355986,572,69,0,0,0,0,0,0,29,1,3
2013-10-09 22:00:47,1381356047,580,69,0,0,0,0,0,0,30,1,3
2013-10-09 22:01:46,1381356106,573,43,0,0,0,0,0,0,30,1,3
2013-10-09 22:45:13,1381358713,505,0,45,77,0,0,0,0,0,1,3
2013-10-09 22:46:13,1381358773,503,0,46,75,0,0,0,0,0,1,3
2013-10-09 22:47:13,1381358833,500,0,46,74,0,0,0,0,0,1,3
2013-10-09 22:48:13,1381358893,500,0,45,74,0,0,0,0,0,1,3
2013-10-09 22:49:14,1381358954,499,0,44,72,0,0,0,0,0,1,3
2013-10-09 22:50:13,1381359013,500,0,45,72,0,0,0,0,0,1,3
2013-10-09 22:51:13,1381359073,471,0,45,71,0,0,0,0,0,1,3
2013-10-09 22:52:13,1381359133,230,0,44,71,0,0,0,0,0,1,3
2013-10-10 00:12:28,1381363948,265,75,0,82,0,0,0,0,0,1,3
2013-10-10 00:13:28,1381364008,255,74,0,76,0,0,0,0,0,1,3
2013-10-10 00:14:28,1381364068,256,73,0,75,0,0,0,0,0,1,3
2013-10-10 00:15:28,1381364128,252,72,0,73,0,0,0,0,0,1,3
2013-10-10 00:16:28,1381364188,288,72,0,72,0,0,0,0,37,1,4
2013-10-10 00:17:28,1381364248,295,71,0,72,0,0,0,0,43,1,4
2013-10-10 00:18:28,1381364308,281,71,0,71,0,0,0,0,35,1,4
2013-10-10 00:19:28,1381364368,286,71,0,72,0,0,0,0,36,1,4
2013-10-10 00:20:28,1381364428,293,70,0,70,0,0,0,0,48,1,4
2013-10-10 00:21:27,1381364487,285,69,0,70,0,0,0,0,34,1,4
2013-10-10 00:22:27,1381364547,280,68,0,69,0,0,0,0,31,1,4
2013-10-10 00:23:28,1381364608,278,69,0,70,0,0,0,0,32,1,4
2013-10-10 00:24:29,1381364669,274,68,0,69,0,0,0,0,35,1,4
2013-10-10 00:25:30,1381364730,236,0,0,69,0,0,0,0,35,1,3
2013-10-10 00:26:30,1381364790,235,0,0,69,0,0,0,0,35,1,3
2013-10-10 00:27:30,1381364850,232,0,0,69,0,0,0,0,34,1,3
2013-10-10 00:28:30,1381364910,234,0,0,68,0,0,0,0,35,1,3
2013-10-10 00:29:30,1381364970,234,0,0,68,0,0,0,0,35,1,3
2013-10-10 00:30:30,1381365030,278,0,57,68,0,0,0,0,36,1,4
2013-10-10 00:31:30,1381365090,269,0,53,69,0,0,0,0,31,1,4
2013-10-10 00:32:30,1381365150,233,0,50,69,0,0,0,0,0,1,3
2013-10-10 00:33:29,1381365209,231,0,48,68,0,0,0,0,0,1,3
2013-10-10 00:34:30,1381365270,229,0,47,67,0,0,0,0,0,1,3
2013-10-10 00:35:30,1381365330,231,0,48,68,0,0,0,0,0,1,3
2013-10-10 00:36:29,1381365389,231,0,47,69,0,0,0,0,0,1,3
2013-10-10 00:37:30,1381365450,233,0,47,68,0,0,0,0,0,1,3
2013-10-10 00:38:30,1381365510,231,0,46,68,0,0,0,0,0,1,3
2013-10-10 00:39:30,1381365570,230,0,47,68,0,0,0,0,0,1,3
2013-10-10 00:40:30,1381365630,232,0,45,67,0,0,0,0,0,1,3
2013-10-10 00:41:30,1381365690,231,0,45,67,0,0,0,0,0,1,3
2013-10-10 00:42:30,1381365750,229,0,45,68,0,0,0,0,0,1,3
2013-10-10 00:43:30,1381365810,231,0,45,67,0,0,0,0,0,1,3
2013-10-10 00:44:30,1381365870,229,0,45,67,0,0,0,0,0,1,3
2013-10-10 00:45:30,1381365930,229,0,45,67,0,0,0,0,0,1,3
2013-10-10 00:46:29,1381365989,234,0,44,67,0,0,0,0,0,1,3
2013-10-10 01:41:46,1381369306,238,0,45,77,0,0,0,0,0,1,3
2013-10-10 01:42:46,1381369366,235,0,45,74,0,0,0,0,0,1,3
2013-10-10 01:43:46,1381369426,238,0,44,74,0,0,0,0,0,1,3
2013-10-10 01:44:47,1381369487,233,0,44,73,0,0,0,0,0,1,3
2013-10-10 01:45:46,1381369546,233,0,44,72,0,0,0,0,0,1,3
2013-10-10 02:00:16,1381370416,197,0,0,68,0,0,0,0,9,1,3
2013-10-10 02:01:15,1381370475,206,0,0,68,0,0,0,0,10,1,3
2013-10-10 02:02:15,1381370535,205,0,0,68,0,0,0,0,10,1,3
2013-10-10 02:03:15,1381370595,204,0,0,67,0,0,0,0,9,1,3
2013-10-10 02:04:15,1381370655,202,0,0,67,0,0,0,0,9,1,3
2013-10-10 02:05:15,1381370715,206,0,0,68,0,0,0,0,9,1,3
2013-10-10 02:06:28,1381370788,201,0,0,68,0,0,0,0,9,1,3
2013-10-10 02:07:21,1381370841,202,0,0,67,0,0,0,0,9,1,3
2013-10-10 02:08:17,1381370897,207,0,0,68,0,0,0,0,9,1,3
2013-10-10 02:09:15,1381370955,196,0,0,68,0,0,0,0,9,1,3
2013-10-10 02:27:28,1381372048,245,82,58,0,0,0,0,0,0,1,3
2013-10-10 02:28:28,1381372108,238,82,51,0,0,0,0,0,0,1,3
2013-10-10 02:29:28,1381372168,234,83,48,0,0,0,0,0,0,1,3
2013-10-10 02:30:28,1381372228,234,82,48,0,0,0,0,0,0,1,3
2013-10-10 02:31:28,1381372288,231,82,47,0,0,0,0,0,0,1,3
2013-10-10 02:32:28,1381372348,232,81,47,0,0,0,0,0,0,1,3
2013-10-10 02:33:28,1381372408,233,80,46,0,0,0,0,0,0,1,3
2013-10-10 02:34:28,1381372468,232,80,47,0,0,0,0,0,0,1,3
2013-10-10 02:35:29,1381372529,227,79,46,0,0,0,0,0,0,1,3
2013-10-10 02:36:28,1381372588,229,78,46,0,0,0,0,0,0,1,3
2013-10-10 02:37:28,1381372648,227,76,46,0,0,0,0,0,0,1,3
2013-10-10 02:38:28,1381372708,227,75,45,0,0,0,0,0,0,1,3
2013-10-10 02:39:31,1381372771,224,74,45,0,0,0,0,0,0,1,3
2013-10-10 02:40:44,1381372844,224,74,45,0,0,0,0,0,0,1,3
2013-10-10 02:41:45,1381372905,225,73,44,0,0,0,0,0,0,1,3
2013-10-10 02:42:44,1381372964,225,72,44,0,0,0,0,0,0,1,3
2013-10-10 02:43:44,1381373024,224,72,44,0,0,0,0,0,0,1,3
2013-10-10 02:44:44,1381373084,186,71,26,0,0,0,0,0,0,1,3
2013-10-10 03:26:31,1381375591,239,0,56,68,0,0,0,0,0,1,3
2013-10-10 03:28:02,1381375682,233,0,48,69,0,0,0,0,0,1,3
2013-10-10 03:29:47,1381375787,234,0,47,68,0,0,0,0,0,1,3
2013-10-10 03:31:18,1381375878,231,0,48,68,0,0,0,0,0,1,3
2013-10-10 03:32:32,1381375952,233,0,47,68,0,0,0,0,0,1,3
2013-10-10 03:33:48,1381376028,234,0,46,68,0,0,0,0,0,1,3
2013-10-10 03:35:17,1381376117,233,0,46,68,0,0,0,0,0,1,3
2013-10-10 03:36:17,1381376177,232,0,46,68,0,0,0,0,0,1,3
2013-10-10 03:37:46,1381376266,229,0,45,67,0,0,0,0,0,1,3
2013-10-10 03:39:01,1381376341,231,0,45,66,0,0,0,0,0,1,3
2013-10-10 03:40:01,1381376401,232,0,45,67,0,0,0,0,0,1,3
2013-10-10 03:41:31,1381376491,228,0,45,67,0,0,0,0,0,1,3
2013-10-10 03:42:32,1381376552,228,0,44,67,0,0,0,0,0,1,3
2013-10-10 04:38:48,1381379928,242,0,45,79,0,0,0,0,0,1,3
2013-10-10 04:40:18,1381380018,234,0,44,74,0,0,0,0,0,1,3
2013-10-10 04:41:32,1381380092,233,0,45,73,0,0,0,0,0,1,3
2013-10-10 04:56:17,1381380977,253,80,0,67,0,0,0,0,0,1,3
2013-10-10 04:57:31,1381381051,258,81,0,68,0,0,0,0,0,1,3
2013-10-10 04:59:01,1381381141,274,81,0,68,0,0,0,0,0,1,3
2013-10-10 05:00:31,1381381231,257,82,0,67,0,0,0,0,0,1,3
2013-10-10 05:01:47,1381381307,322,81,0,68,0,0,0,0,0,1,3
2013-10-10 05:03:02,1381381382,326,81,0,68,0,0,0,0,0,1,3
2013-10-10 05:04:32,1381381472,326,80,0,67,0,0,0,0,0,1,3
2013-10-10 05:06:02,1381381562,324,80,0,67,0,0,0,0,0,1,3
2013-10-10 05:07:19,1381381639,325,77,0,67,0,0,0,0,0,1,3
2013-10-10 05:08:32,1381381712,319,77,0,66,0,0,0,0,0,1,3
2013-10-10 05:10:02,1381381802,313,76,0,67,0,0,0,0,0,1,3
2013-10-10 05:11:16,1381381876,312,74,0,66,0,0,0,0,0,1,3
2013-10-10 06:21:16,1381386076,381,12,0,69,0,0,0,0,0,1,3
2013-10-10 06:25:32,1381386332,263,0,54,69,0,0,0,0,0,1,3
2013-10-10 06:27:01,1381386421,261,0,50,69,0,0,0,0,0,1,3
2013-10-10 06:28:31,1381386511,259,0,47,68,0,0,0,0,0,1,3
2013-10-10 06:29:47,1381386587,259,0,47,68,0,0,0,0,0,1,3
2013-10-10 06:31:20,1381386680,261,0,47,68,0,0,0,0,0,1,3
2013-10-10 06:32:18,1381386738,256,0,47,67,0,0,0,0,0,1,3
2013-10-10 06:33:17,1381386797,391,12,46,198,0,0,0,0,0,1,4
2013-10-10 06:34:18,1381386858,387,0,47,195,0,0,0,0,0,1,3
2013-10-10 06:35:32,1381386932,403,0,46,193,0,0,0,0,0,1,3
2013-10-10 06:37:02,1381387022,401,0,46,194,0,0,0,0,0,1,3
2013-10-10 06:38:31,1381387111,386,0,45,192,0,0,0,0,0,1,3
2013-10-10 06:39:47,1381387187,383,0,45,193,0,0,0,0,0,1,3
2013-10-10 06:40:48,1381387248,388,0,45,191,0,0,0,0,0,1,3
2013-10-10 06:42:18,1381387338,1616,0,31,190,0,0,0,0,0,1,3
2013-10-10 06:57:31,1381388251,1459,84,0,76,0,0,0,0,0,1,3
2013-10-10 06:58:32,1381388312,193,83,0,78,0,0,0,0,0,1,3
2013-10-10 07:00:16,1381388416,232,83,0,82,0,0,0,0,0,1,3
2013-10-10 07:01:16,1381388476,239,84,0,82,0,0,0,0,0,1,3
2013-10-10 07:02:18,1381388538,241,82,0,84,0,0,0,0,0,1,3
2013-10-10 07:04:02,1381388642,236,82,0,84,0,0,0,0,0,1,3
2013-10-10 07:05:18,1381388718,239,81,0,84,0,0,0,0,0,1,3
2013-10-10 07:06:32,1381388792,233,80,0,83,0,0,0,0,0,1,3
2013-10-10 07:08:16,1381388896,250,77,0,80,0,0,0,0,0,1,3
2013-10-10 07:09:16,1381388956,225,76,0,79,0,0,0,0,0,1,3
2013-10-10 07:10:32,1381389032,232,74,0,78,0,0,0,0,0,1,3
2013-10-10 07:11:33,1381389093,232,74,0,77,0,0,0,0,0,1,3
2013-10-10 07:12:33,1381389153,242,73,0,77,0,0,0,0,0,1,3
2013-10-10 07:13:46,1381389226,233,73,0,76,0,0,0,0,0,1,3
2013-10-10 07:15:02,1381389302,230,72,0,75,0,0,0,0,0,1,3
2013-10-10 07:16:18,1381389378,227,71,0,75,0,0,0,0,0,1,3
2013-10-10 07:17:47,1381389467,401,70,0,74,0,0,0,0,0,1,3
2013-10-10 07:19:17,1381389557,363,69,0,73,0,0,0,0,0,1,3
2013-10-10 07:20:18,1381389618,422,69,57,74,0,0,0,0,0,1,4
2013-10-10 07:21:47,1381389707,765,68,52,74,0,0,0,0,0,1,4
2013-10-10 07:23:16,1381389796,242,0,48,73,0,0,0,0,0,1,3
2013-10-10 07:24:32,1381389872,225,0,48,73,0,0,0,0,0,1,3
2013-10-10 07:25:33,1381389933,1109,0,47,72,0,0,0,0,0,1,3
2013-10-10 07:26:47,1381390007,1084,12,46,71,0,0,0,0,0,1,4
2013-10-10 07:28:01,1381390081,227,12,46,72,0,0,0,0,0,1,4
2013-10-10 07:29:46,1381390186,222,0,47,72,0,0,0,0,0,1,3
2013-10-10 07:31:01,1381390261,210,0,46,70,0,0,0,0,0,1,3
2013-10-10 07:32:17,1381390337,213,0,46,71,0,0,0,0,0,1,3
2013-10-10 07:33:17,1381390397,224,0,45,71,0,0,0,0,0,1,3
2013-10-10 07:34:33,1381390473,207,0,45,70,0,0,0,0,0,1,3
2013-10-10 07:36:02,1381390562,210,0,45,70,0,0,0,0,0,1,3
2013-10-10 07:37:16,1381390636,215,0,44,70,0,0,0,0,0,1,3
2013-10-10 07:38:18,1381390698,230,0,27,70,0,0,0,0,0,1,3
2013-10-10 08:18:03,1381393083,209,0,55,67,0,0,0,0,0,1,3
2013-10-10 08:19:32,1381393172,215,0,49,66,0,0,0,0,0,1,3
2013-10-10 08:21:32,1381393292,216,0,48,67,0,0,0,0,0,1,3
2013-10-10 08:23:02,1381393382,213,0,47,66,0,0,0,0,0,1,3
2013-10-10 09:13:32,1381396412,579,0,54,82,0,0,0,0,0,1,3
2013-10-10 09:15:01,1381396501,868,0,49,75,0,0,0,0,0,1,3
2013-10-10 09:16:02,1381396562,437,0,48,73,0,0,0,0,0,1,3
2013-10-10 09:17:18,1381396638,1266,0,47,73,0,0,0,0,0,1,3
2013-10-10 09:18:32,1381396712,1318,0,46,72,0,0,0,0,0,1,3
2013-10-10 09:20:03,1381396803,1220,0,46,71,0,0,0,0,0,1,3
2013-10-10 09:21:47,1381396907,1250,0,47,71,0,0,0,0,0,1,3
2013-10-10 09:23:16,1381396996,1120,0,45,70,0,0,0,0,0,1,3
2013-10-10 09:24:19,1381397059,1149,0,45,70,0,0,0,0,0,1,3
2013-10-10 09:25:21,1381397121,1171,0,45,69,0,0,0,0,0,1,3
2013-10-10 09:26:21,1381397181,1088,87,45,69,0,0,0,0,0,1,4
2013-10-10 09:27:21,1381397241,1058,83,44,69,0,0,0,0,0,1,4
2013-10-10 09:28:50,1381397330,1071,83,44,69,0,0,0,0,0,1,4
2013-10-10 09:30:04,1381397404,1039,82,44,69,0,0,0,0,0,1,4
2013-10-10 09:31:05,1381397465,1121,82,32,69,0,0,0,0,0,1,4
2013-10-10 09:32:05,1381397525,1138,82,0,67,0,0,0,0,0,1,3
2013-10-10 09:33:04,1381397584,1135,82,0,69,0,0,0,0,0,1,3
2013-10-10 09:34:04,1381397644,1122,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:35:06,1381397706,1184,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:36:05,1381397765,1178,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:37:05,1381397825,1195,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:38:33,1381397913,1232,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:39:33,1381397973,1011,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:40:35,1381398035,1308,82,0,67,0,0,0,0,0,1,3
2013-10-10 09:42:04,1381398124,1281,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:43:49,1381398229,1261,82,0,68,0,0,0,0,0,1,3
2013-10-10 09:45:18,1381398318,1385,73,0,68,0,0,0,0,0,1,3
2013-10-10 09:46:22,1381398382,1298,73,0,67,0,0,0,0,0,1,3
2013-10-10 09:47:22,1381398442,1308,73,0,68,0,0,0,0,0,1,3
2013-10-10 09:48:21,1381398501,1302,73,0,67,0,0,0,0,0,1,3
2013-10-10 09:49:33,1381398573,1313,70,0,67,0,0,0,0,0,1,3
2013-10-10 09:50:33,1381398633,1281,70,0,67,0,0,0,0,0,1,3
2013-10-10 09:51:34,1381398694,1287,70,0,67,0,0,0,0,0,1,3
2013-10-10 10:09:01,1381399741,723,70,106,0,0,0,0,0,0,1,3
2013-10-10 10:10:16,1381399816,1661,70,52,0,0,0,0,0,0,1,3
2013-10-10 10:11:31,1381399891,1667,70,49,0,0,0,0,0,0,1,3
2013-10-10 10:12:48,1381399968,1181,70,48,0,0,0,0,0,0,1,3
2013-10-10 10:14:31,1381400071,1722,70,47,0,0,0,0,0,0,1,3
2013-10-10 10:15:32,1381400132,1786,70,47,0,0,0,0,0,0,1,3
2013-10-10 10:44:04,1381401844,2090,10,0,74,0,0,0,0,0,1,3
2013-10-10 10:45:50,1381401950,369,0,0,73,0,0,8,0,0,1,3
2013-10-10 10:46:50,1381402010,1770,0,0,71,0,0,69,0,0,1,3
2013-10-10 10:48:04,1381402084,240,0,0,72,0,0,2268,0,0,1,3
2013-10-10 10:49:04,1381402144,1577,0,0,71,0,0,2264,0,0,1,3
2013-10-10 10:50:06,1381402206,231,0,0,71,0,0,2264,0,0,1,3
2013-10-10 10:51:06,1381402266,1376,0,0,70,0,0,2240,0,0,1,3
2013-10-10 10:52:06,1381402326,1300,0,0,70,0,0,2240,0,0,1,3
2013-10-10 10:53:05,1381402385,1566,0,0,70,0,0,2236,0,0,1,3
2013-10-10 10:54:06,1381402446,1313,0,0,68,0,0,2252,0,0,1,3
2013-10-10 10:55:19,1381402519,1068,0,0,69,0,0,2216,0,0,1,3
2013-10-10 10:56:34,1381402594,1537,0,0,69,0,0,2185,0,0,1,3
2013-10-10 10:57:35,1381402655,309,0,0,69,0,0,2228,0,0,1,3
2013-10-10 10:58:35,1381402715,663,0,0,68,0,0,29,0,0,1,3
2013-10-10 10:59:35,1381402775,2345,0,0,68,0,0,25,0,0,1,3
2013-10-10 11:00:36,1381402836,2256,0,0,68,0,0,66,0,0,1,3
2013-10-10 11:02:04,1381402924,231,0,0,68,0,0,2216,24,0,1,4
2013-10-10 11:03:03,1381402983,1016,0,0,69,0,0,2204,29,0,1,4
2013-10-10 11:04:06,1381403046,2419,0,0,68,0,0,25,27,0,1,4
